date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:20	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Apr%202017%2007:11:19%20GMT	https://www.templatemonster.com/demo/a	E:/My%20Web%20Sites/spare/www.templatemonster.com/demo/a	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=7118e19)
10:11:20	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Apr%202017%2007:11:20%20GMT	https://www.templatemonster.com/demo/a	E:/My%20Web%20Sites/spare/www.templatemonster.com/demo/a	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=7118e19)
10:11:21	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Apr%202017%2007:11:20%20GMT	https://www.templatemonster.com/demo/a	E:/My%20Web%20Sites/spare/www.templatemonster.com/demo/a	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=7118e19)
10:11:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Apr%202017%2007:11:21%20GMT	https://www.templatemonster.com/demo/this.isAbsolute(	E:/My%20Web%20Sites/spare/www.templatemonster.com/demo/this.isAbsolute(	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=7118e19)
10:11:22	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Apr%202017%2007:11:22%20GMT	https://www.templatemonster.com/demo/this.isAbsolute%28	E:/My%20Web%20Sites/spare/www.templatemonster.com/demo/this.isAbsolute(	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=7118e19)
10:11:24	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Apr%202017%2007:11:22%20GMT	https://www.templatemonster.com/demo/a	E:/My%20Web%20Sites/spare/www.templatemonster.com/demo/a	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=7118e19)
10:11:26	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Apr%202017%2007:11:24%20GMT	https://www.templatemonster.com/demo/safari/	E:/My%20Web%20Sites/spare/www.templatemonster.com/demo/safari/index.html	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=7118e19)
10:11:26	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Apr%202017%2007:11:24%20GMT	https://www.templatemonster.com/demo/gecko/	E:/My%20Web%20Sites/spare/www.templatemonster.com/demo/gecko/index.html	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=7118e19)
10:11:26	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Apr%202017%2007:11:24%20GMT	https://www.templatemonster.com/demo/mozilla/	E:/My%20Web%20Sites/spare/www.templatemonster.com/demo/mozilla/index.html	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=7118e19)
10:11:35	1151894/1151894	---MCZ	200	added ('OK')	text/css	etag:W/%2258eb3df0-119396%22	http://s.tmimgcdn.com/css/varnish.application.minified.css	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/css/varnish.application.minified.css	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=7118e19)
10:11:36	320/320	---M--	200	added ('OK')	image/png	etag:%225458a905-140%22	http://s.tmimgcdn.com/img/cross-sign.png?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/cross-sign312d.png	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:11:38	657/657	---M--	200	added ('OK')	image/png	etag:%2256c32102-291%22	http://s.tmimgcdn.com/img/radio-icon.png?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/radio-icon312d.png	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:11:41	136512/136512	---MC-	502	error ('Bad%20Gateway')	text/html	date:Mon,%2017%20Apr%202017%2007:11:26%20GMT	https://www.templatemonster.com/widget.css	E:/My%20Web%20Sites/spare/www.templatemonster.com/widget.html	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=7118e19)
10:11:42	2286/2286	---M--	200	added ('OK')	image/jpeg	etag:%225458a905-8ee%22	http://s.tmimgcdn.com/img/cstmz-serv1.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/cstmz-serv1312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:11:43	2633/2633	---M--	200	added ('OK')	image/jpeg	etag:%225458a905-a49%22	http://s.tmimgcdn.com/img/cstmz-serv3.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/cstmz-serv3312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:11:43	87075/87075	---M--	200	added ('OK')	image/png	etag:%2255af7d4e-15423%22	http://s.tmimgcdn.com/img/slider-img-monstroid.png?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/slider-img-monstroid312d.png	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:11:44	7074/7074	---M--	200	added ('OK')	image/png	etag:%2254cf34d0-1ba2%22	http://s.tmimgcdn.com/img/sprite.png?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/sprite312d.png	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
